epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.24936045706272125,0.0010000000474974513,1.765805721282959,0.34875792264938354,1.5530942678451538
1,0.3122183084487915,0.0010000000474974513,1.606956124305725,0.3395031690597534,1.506764531135559
2,0.35448896884918213,0.0010000000474974513,1.5414375066757202,0.4120798707008362,1.400258183479309
3,0.3818979263305664,0.0010000000474974513,1.5045827627182007,0.4042864143848419,1.4685624837875366
4,0.3987087309360504,0.0010000000474974513,1.463849663734436,0.40915733575820923,1.400579571723938
5,0.41113412380218506,0.0010000000474974513,1.4370404481887817,0.5002435445785522,1.2673500776290894
6,0.42465585470199585,0.0010000000474974513,1.4242645502090454,0.5070628523826599,1.2352960109710693
7,0.4400048851966858,0.0010000000474974513,1.4032654762268066,0.48952752351760864,1.2589266300201416
8,0.45255208015441895,0.0010000000474974513,1.378237009048462,0.5309303402900696,1.228542685508728
9,0.4674138128757477,0.0010000000474974513,1.358938217163086,0.5255723595619202,1.1983542442321777
10,0.4715556204319,0.0010000000474974513,1.3378734588623047,0.5109595656394958,1.2628445625305176
11,0.4849555492401123,0.0010000000474974513,1.3378981351852417,0.5099853873252869,1.2519952058792114
12,0.49750274419784546,0.0010000000474974513,1.3092541694641113,0.5664880871772766,1.1628451347351074
13,0.506273627281189,0.0010000000474974513,1.28842294216156,0.5270336270332336,1.2439193725585938
14,0.5109026432037354,0.0010000000474974513,1.2781016826629639,0.6030199527740479,1.0771899223327637
15,0.5183335542678833,0.0010000000474974513,1.2664495706558228,0.5820749998092651,1.1253687143325806
16,0.5264953374862671,0.0010000000474974513,1.2567640542984009,0.612274706363678,1.093238115310669
17,0.5307589173316956,0.0010000000474974513,1.2313321828842163,0.6156843900680542,1.0673273801803589
18,0.5394079685211182,0.0010000000474974513,1.2199186086654663,0.5908426642417908,1.1098700761795044
19,0.5497624278068542,0.0010000000474974513,1.2067018747329712,0.5898684859275818,1.0891900062561035
20,0.547569751739502,0.0010000000474974513,1.21035635471344,0.6337067484855652,1.031666874885559
21,0.5599951148033142,0.0010000000474974513,1.1937350034713745,0.6283487677574158,1.0579948425292969
22,0.5657205581665039,0.0010000000474974513,1.178741216659546,0.6098392605781555,1.0609506368637085
23,0.5710805058479309,0.0010000000474974513,1.1755942106246948,0.5879201292991638,1.1058838367462158
24,0.5871604084968567,0.0005000000237487257,1.134544849395752,0.6376035213470459,1.005957841873169
25,0.586185872554779,0.0005000000237487257,1.1206037998199463,0.611300528049469,1.0558710098266602
26,0.6014130711555481,0.0005000000237487257,1.1053744554519653,0.6424744129180908,0.988988995552063
27,0.6050676107406616,0.0005000000237487257,1.0914136171340942,0.6264004111289978,1.0326511859893799
28,0.6027531027793884,0.0005000000237487257,1.0896395444869995,0.645884096622467,0.9875451326370239
29,0.6032403707504272,0.0005000000237487257,1.0860589742660522,0.6390647888183594,0.9976412653923035
30,0.6083566546440125,0.0005000000237487257,1.078361988067627,0.649780809879303,0.9737358093261719
31,0.6122548580169678,0.0005000000237487257,1.077143669128418,0.6492937207221985,0.9735665917396545
32,0.61956387758255,0.0005000000237487257,1.0632398128509521,0.6439356803894043,0.9969090819358826
33,0.6204166412353516,0.0005000000237487257,1.0539709329605103,0.6585484743118286,0.9716122150421143
34,0.6182239055633545,0.0005000000237487257,1.055047631263733,0.6424744129180908,0.9714885950088501
35,0.625045657157898,0.0005000000237487257,1.0458917617797852,0.6361422538757324,1.0166699886322021
36,0.6332074403762817,0.0005000000237487257,1.0324771404266357,0.6551388502120972,0.9596412777900696
37,0.6352783441543579,0.0005000000237487257,1.028465986251831,0.6453970074653625,0.9668055176734924
38,0.6338165402412415,0.0005000000237487257,1.0222604274749756,0.6463711857795715,0.9737447500228882
39,0.6339383721351624,0.0005000000237487257,1.0214725732803345,0.6522162556648254,0.9737861752510071
40,0.6531855463981628,0.0002500000118743628,0.9851313233375549,0.6624451875686646,0.9420831203460693
41,0.6619563698768616,0.0002500000118743628,0.9756467938423157,0.6731612086296082,0.9336338639259338
42,0.6522110104560852,0.0002500000118743628,0.9765760898590088,0.6595226526260376,0.9562069773674011
43,0.6699963212013245,0.0002500000118743628,0.9561210870742798,0.6595226526260376,0.9733531475067139
44,0.6648800373077393,0.0002500000118743628,0.9571582674980164,0.6561130285263062,0.9457891583442688
45,0.6741381287574768,0.0001250000059371814,0.9341029524803162,0.6634193658828735,0.9417421221733093
46,0.6742599606513977,0.0001250000059371814,0.9390373229980469,0.6682903170585632,0.9270350933074951
47,0.6766963005065918,0.0001250000059371814,0.9303000569343567,0.6609839200973511,0.9614854454994202
48,0.68156898021698,0.0001250000059371814,0.9168301820755005,0.6790063381195068,0.9200341701507568
49,0.6752344965934753,0.0001250000059371814,0.9190914034843445,0.6726741194725037,0.9325907230377197
