epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.2448800802230835,0.0010000000474974513,1.767364501953125,0.33289530873298645,1.582640528678894
1,0.3189135789871216,0.0010000000474974513,1.6140050888061523,0.2807709276676178,1.6454763412475586
2,0.34355491399765015,0.0010000000474974513,1.5606552362442017,0.43626806139945984,1.4018172025680542
3,0.37695762515068054,0.0010000000474974513,1.5279327630996704,0.4367060959339142,1.396327257156372
4,0.3874712586402893,0.0010000000474974513,1.5035455226898193,0.4901445508003235,1.3427293300628662
5,0.4125506579875946,0.0010000000474974513,1.4690015316009521,0.50372314453125,1.3051073551177979
6,0.4176979660987854,0.0010000000474974513,1.4595434665679932,0.45685502886772156,1.3890302181243896
7,0.43160662055015564,0.0010000000474974513,1.4383131265640259,0.49408674240112305,1.2893092632293701
8,0.4460628628730774,0.0010000000474974513,1.4189693927764893,0.5173017978668213,1.2254530191421509
9,0.45131969451904297,0.0010000000474974513,1.4001812934875488,0.5383267402648926,1.221646785736084
10,0.4677472412586212,0.0010000000474974513,1.374367117881775,0.5300043821334839,1.231262445449829
11,0.47136130928993225,0.0010000000474974513,1.3694225549697876,0.5663600564002991,1.1889727115631104
12,0.47968459129333496,0.0010000000474974513,1.3563940525054932,0.5746824145317078,1.15304696559906
13,0.4864746332168579,0.0010000000474974513,1.340080976486206,0.5615418553352356,1.1740936040878296
14,0.48866498470306396,0.0010000000474974513,1.3313676118850708,0.556285560131073,1.190721869468689
15,0.49644070863723755,0.0010000000474974513,1.3183587789535522,0.5856329202651978,1.1483865976333618
16,0.5007118582725525,0.0010000000474974513,1.3206371068954468,0.5681121349334717,1.1652411222457886
17,0.5134158134460449,0.0010000000474974513,1.3007408380508423,0.578186571598053,1.1466820240020752
18,0.5098017454147339,0.0010000000474974513,1.3023922443389893,0.5808147192001343,1.1202375888824463
19,0.5241485238075256,0.0010000000474974513,1.2787870168685913,0.5860709547996521,1.1269257068634033
20,0.5157157182693481,0.0010000000474974513,1.285079836845398,0.5878230333328247,1.1143622398376465
21,0.5257912874221802,0.0010000000474974513,1.2758469581604004,0.5711782574653625,1.1204801797866821
22,0.5354287624359131,0.0010000000474974513,1.2572835683822632,0.5865089893341064,1.122801661491394
23,0.5331289172172546,0.0010000000474974513,1.2592887878417969,0.5878230333328247,1.1101303100585938
24,0.532143235206604,0.0010000000474974513,1.250415563583374,0.5970214605331421,1.099554181098938
25,0.5421093106269836,0.0010000000474974513,1.238423228263855,0.6084100008010864,1.0763486623764038
26,0.5421093106269836,0.0010000000474974513,1.2377729415893555,0.5939553380012512,1.0836031436920166
27,0.552951455116272,0.0010000000474974513,1.2245194911956787,0.5865089893341064,1.1429048776626587
28,0.5563465356826782,0.0010000000474974513,1.2162905931472778,0.6092860102653503,1.090583324432373
29,0.5715693831443787,0.0005000000237487257,1.1775612831115723,0.6097240447998047,1.0558120012283325
30,0.5798926949501038,0.0005000000237487257,1.1587790250778198,0.6145422458648682,1.0446010828018188
31,0.5836162567138672,0.0005000000237487257,1.152108907699585,0.6114761233329773,1.0611379146575928
32,0.5861351490020752,0.0005000000237487257,1.1436073780059814,0.6176084280014038,1.0451586246490479
33,0.5864636898040771,0.0005000000237487257,1.1425169706344604,0.6224266290664673,1.0317597389221191
34,0.5908443927764893,0.0005000000237487257,1.1356966495513916,0.630748987197876,1.0314252376556396
35,0.5984010696411133,0.0005000000237487257,1.122836709022522,0.623302698135376,1.04464590549469
36,0.5974153876304626,0.0005000000237487257,1.123374104499817,0.6167323589324951,1.034346103668213
37,0.5992771983146667,0.0005000000237487257,1.1062272787094116,0.6162943243980408,1.0339092016220093
38,0.6105574369430542,0.0002500000118743628,1.0813900232315063,0.6298729777336121,1.0125880241394043
39,0.6219472289085388,0.0002500000118743628,1.0725969076156616,0.6272448301315308,1.0155136585235596
40,0.6234804391860962,0.0002500000118743628,1.064933180809021,0.6368812918663025,1.0105565786361694
